'Texas Creek','Stream',35.7433448958,-83.3128043023,769.608032227,'Old Settlers Trail',15.8,391.20
'Snag Mountain', 'Overlook',35.749977898,-83.2931279969,776.117675781,'Old Settlers Trail',15.8,391.20
'Campsite #33', 'Campsite',35.7487915957,-83.3446643119,597.394470215,'Old Settlers Trail',15.8,391.20
'Fern Branch Falls','Waterfall', 35.6967998822,-83.3882120216,'Greenbrier/Cosby Area', 'Porters Creek',3.6,449.58
'Campsite #31', 'Campsite',35.6865319817,-83.3968470235,'Greenbrier/Cosby Area', 'Porters Creek',3.7,467.18
'Wildflowers','Flowers', 'none','none','Greenbrier/Cosby Area', 'Porters Creek',3.7,467.18
'Virgin Forest','Forest','none','none','none','Ramseys Cascade',4.0,671.76
'Cascades','Waterfall',35.7085318891,-83.3001480965,1301.22631836,'Ramseys Cascade',4.0,671.76
'Big Tupliptree','Big trees',35.7085318891,-83.3001480965,1301.22631836,'Ramseys Cascade',4.0,671.76
'Views','View', 'none', 'none','none','Snake Den Ridge',5.3,1044.92
'Old-Growth Forest','Old-growth forest','none','none','none', 'Snake Den Ridge',5.3,1044.92
'Inadu Creek', 'Waterfall',35.7045735871,-83.330150005,848.583862305,'Snake Den Ridge',5.3,1044.92
'Forest variety','Forest','none','none','none','Gunter Fork',4.1,711.42
'Creek scenes','Stream','none','none','none','Gunter Fork',4.1,711.42
'Cascade','Waterfall',35.6958078896,-83.195818865,1206.78308105,'Gunter Fork',4.1,711.42
'Views','View','none','none','none', 'Trillium Gap',6.5,985.57
'Diverse plant life','Forest','none','none','none', 'Trillium Gap',6.5,985.57
